gene,targetId,diseaseId,disease,score,known_clinical
RAB10,ENSG00000084733,MONDO_0021115,luminal B breast carcinoma,0.6193,False
RAB10,ENSG00000084733,MONDO_0021538,verrucous carcinoma of oral cavity,0.6458,False
RAB10,ENSG00000084733,MONDO_0024327,chronic renal failure syndrome,0.7435,False
RAB10,ENSG00000084733,MONDO_0036501,refractory malignant neoplasm,0.5965,False
RAB10,ENSG00000084733,MONDO_0040678,infiltrating urothelial carcinoma,0.8275,False
RAB10,ENSG00000084733,MONDO_0044710,lip and oral cavity squamous cell carcinoma,0.9628,False
RAB10,ENSG00000084733,MONDO_0044787,nasal cavity and paranasal sinus squamous cell carcinoma,0.849,False
RAB10,ENSG00000084733,MONDO_0044887,central nervous system non-hodgkin lymphoma,0.5893,False
RAB10,ENSG00000084733,MONDO_0044964,oral cavity mucoepidermoid carcinoma,0.9788,False
RAB10,ENSG00000084733,MONDO_0045056,grade II meningioma,0.8846,False
RAB10,ENSG00000084733,EFO_0000096,neoplasm of mature B-cells,0.9088,False
RAB10,ENSG00000084733,EFO_0000196,metastatic prostate cancer,0.6016,False
RAB10,ENSG00000084733,EFO_0000198,myelodysplastic syndrome,0.6596,False
RAB10,ENSG00000084733,EFO_0000211,unspecified peripheral T-cell lymphoma,0.5133,False
RAB10,ENSG00000084733,EFO_0000221,acute monocytic leukemia,0.5884,False
RAB10,ENSG00000084733,EFO_0000233,adenosquamous lung carcinoma,0.5487,False
RAB10,ENSG00000084733,EFO_0000304,breast adenocarcinoma,0.7341,False
RAB10,ENSG00000084733,EFO_0000330,childhood acute myeloid leukemia,0.7704,False
RAB10,ENSG00000084733,EFO_0000503,gastric adenocarcinoma,0.5156,False
RAB10,ENSG00000084733,EFO_0000574,lymphoma,0.6537,False
RAB10,ENSG00000084733,EFO_0000616,neoplasm,0.8463,False
RAB10,ENSG00000084733,EFO_0000673,prostate adenocarcinoma,0.5837,False
RAB10,ENSG00000084733,EFO_0000756,melanoma,0.6436,False
RAB10,ENSG00000084733,EFO_0001663,prostate carcinoma,0.551,False
RAB10,ENSG00000084733,EFO_0002426,neoplasm of mature T-cells or NK-cells,0.942,False
RAB10,ENSG00000084733,EFO_0002618,pancreatic carcinoma,0.8418,False
RAB10,ENSG00000084733,EFO_0003027,acute myeloblastic leukemia without maturation,0.8585,False
RAB10,ENSG00000084733,EFO_0003028,acute myeloblastic leukemia with maturation,0.9787,False
RAB10,ENSG00000084733,EFO_0003060,non-small cell lung carcinoma,0.9184,False
RAB10,ENSG00000084733,EFO_0003863,urogenital neoplasm,0.5979,False
RAB10,ENSG00000084733,EFO_0003869,breast neoplasm,0.6367,False
RAB10,ENSG00000084733,EFO_0003891,biliary tract neoplasm,0.6906,False
RAB10,ENSG00000084733,EFO_0004284,upper aerodigestive tract neoplasm,0.9749,False
RAB10,ENSG00000084733,EFO_0004289,lymphoid leukemia,0.63,False
RAB10,ENSG00000084733,EFO_0005537,triple-negative breast cancer,0.8144,False
RAB10,ENSG00000084733,EFO_0006861,male breast carcinoma,0.919,False
RAB10,ENSG00000084733,EFO_0007532,uterine corpus cancer,0.7407,False
RAB10,ENSG00000084733,EFO_0009443,BRCAX breast cancer,0.607,False
RAB10,ENSG00000084733,EFO_0009780,HER2 negative breast carcinoma,0.9156,False
RAB10,ENSG00000084733,EFO_0009878,drug interaction,0.8802,False
RAB10,ENSG00000084733,EFO_0010580,blastic plasmacytoid dendritic cell neoplasm,0.5416,False
RAB10,ENSG00000084733,EFO_0010832,primary central chondrosarcoma,0.6717,False
RAB10,ENSG00000084733,EFO_0020003,drug toxicity,0.8762,False
RAB10,ENSG00000084733,EFO_1000044,pancreatic adenocarcinoma,0.5372,False
RAB10,ENSG00000084733,EFO_1000131,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",0.8141,False
RAB10,ENSG00000084733,EFO_1000238,Endometrial Serous Adenocarcinoma,0.5122,False
RAB10,ENSG00000084733,EFO_1000251,Fallopian Tube Carcinoma,0.8828,False
RAB10,ENSG00000084733,EFO_1000253,Fallopian Tube Serous Adenocarcinoma,0.5108,False
RAB10,ENSG00000084733,EFO_1000294,HER2 Positive Breast Carcinoma,0.5306,False
RAB10,ENSG00000084733,EFO_1000412,Ovarian Carcinosarcoma,0.626,False
RAB10,ENSG00000084733,EFO_1000419,Ovarian Germ Cell Tumor,0.7601,False
RAB10,ENSG00000084733,EFO_1000494,Primary Peritoneal Serous Adenocarcinoma,0.7396,False
RAB10,ENSG00000084733,EFO_1000616,Uveal Melanoma,0.846,False
RAB10,ENSG00000084733,EFO_1000649,estrogen-receptor positive breast cancer,0.6116,False
RAB10,ENSG00000084733,EFO_1001013,lethal midline granuloma,0.9665,False
RAB10,ENSG00000084733,EFO_1001100,peritoneal neoplasm,0.9661,False
RAB10,ENSG00000084733,EFO_1001110,pituitary-dependent Cushing's disease,0.8912,False
RAB10,ENSG00000084733,EFO_1001257,acute erythroblastic leukemia,0.835,False
RAB10,ENSG00000084733,EFO_1001348,HIV-Associated Lipodystrophy Syndrome,0.8543,False
RAB10,ENSG00000084733,EFO_1001799,incomplete abortion,0.5484,False
RAB10,ENSG00000084733,EFO_1001830,precursor T-cell lymphoblastic leukemia-lymphoma,0.5962,False
RAB10,ENSG00000084733,EFO_1001932,adult acute megakaryoblastic leukemia,0.607,False
RAB10,ENSG00000084733,EFO_1001933,adult acute monocytic leukemia,0.7451,False
RAB10,ENSG00000084733,EFO_1001934,adult acute myeloid leukemia,0.8681,False
RAB10,ENSG00000084733,EFO_1001935,adult B acute lymphoblastic leukemia,0.6163,False
RAB10,ENSG00000084733,EFO_1001945,childhood acute myeloid leukemia with maturation,0.8906,False
RAB10,ENSG00000084733,EFO_1001952,endometrial adenosquamous carcinoma,0.7891,False
RAB10,ENSG00000084733,EFO_1001958,high grade ovarian serous adenocarcinoma,0.9859,False
RAB10,ENSG00000084733,EFO_1001963,ovarian mucinous cystadenocarcinoma,0.7405,False
RAB10,ENSG00000084733,EFO_1001973,ureter urothelial carcinoma,0.5661,False
RAB10,ENSG00000084733,EFO_1002001,core binding factor acute myeloid leukemia,0.8958,False
RAB10,ENSG00000084733,Orphanet_145,Hereditary breast and ovarian cancer syndrome,0.8574,False
RAB11A,ENSG00000103769,MONDO_0004111,refractory hematologic cancer,0.7589,False
RAB11A,ENSG00000103769,MONDO_0020690,adult glioblastoma,0.5234,False
RAB11A,ENSG00000103769,MONDO_0024327,chronic renal failure syndrome,0.5588,False
RAB11A,ENSG00000103769,MONDO_0044710,lip and oral cavity squamous cell carcinoma,0.7958,False
RAB11A,ENSG00000103769,EFO_0004284,upper aerodigestive tract neoplasm,0.6327,False
RAB11A,ENSG00000103769,EFO_0020003,drug toxicity,0.8366,False
RAB11A,ENSG00000103769,EFO_1000251,Fallopian Tube Carcinoma,0.5701,False
RAB11A,ENSG00000103769,EFO_1000466,Penile Fibromatosis,0.6119,False
RAB11A,ENSG00000103769,EFO_1001100,peritoneal neoplasm,0.7921,False
RAB11A,ENSG00000103769,EFO_1001110,pituitary-dependent Cushing's disease,0.5707,False
RAB11A,ENSG00000103769,EFO_1001159,Rh isoimmunization,0.5964,False
RAB11A,ENSG00000103769,EFO_1001348,HIV-Associated Lipodystrophy Syndrome,0.5087,False
RAB11A,ENSG00000103769,EFO_1001799,incomplete abortion,0.5863,False
RAB11B,ENSG00000185236,MONDO_0004111,refractory hematologic cancer,0.7308,False
RAB11B,ENSG00000185236,MONDO_0024327,chronic renal failure syndrome,0.7467,False
RAB11B,ENSG00000185236,MONDO_0044710,lip and oral cavity squamous cell carcinoma,0.6404,False
RAB11B,ENSG00000185236,EFO_0004284,upper aerodigestive tract neoplasm,0.6689,False
RAB11B,ENSG00000185236,EFO_0020003,drug toxicity,0.9139,False
RAB11B,ENSG00000185236,EFO_1000466,Penile Fibromatosis,0.6194,False
RAB11B,ENSG00000185236,EFO_1001100,peritoneal neoplasm,0.773,False
RAB11B,ENSG00000185236,EFO_1001110,pituitary-dependent Cushing's disease,0.5088,False
RAB11B,ENSG00000185236,EFO_1001159,Rh isoimmunization,0.7753,False
RAB11B,ENSG00000185236,EFO_1001348,HIV-Associated Lipodystrophy Syndrome,0.7502,False
RAB11B,ENSG00000185236,EFO_1001799,incomplete abortion,0.8195,False
RAB11B,ENSG00000185236,EFO_1001958,high grade ovarian serous adenocarcinoma,0.516,False
RAB13,ENSG00000143545,MONDO_0001187,urinary bladder cancer,0.7203,False
RAB13,ENSG00000143545,MONDO_0001852,small intestine lymphoma,0.7911,False
RAB13,ENSG00000143545,MONDO_0001879,anus cancer,0.9623,False
RAB13,ENSG00000143545,MONDO_0002087,peritoneum cancer,0.8168,False
RAB13,ENSG00000143545,MONDO_0002158,fallopian tube cancer,0.8219,False
RAB13,ENSG00000143545,MONDO_0002225,ovarian sarcoma,0.6453,False
RAB13,ENSG00000143545,MONDO_0002586,thymus cancer,0.8473,False
RAB13,ENSG00000143545,MONDO_0002833,fallopian tube transitional cell carcinoma,0.6624,False
RAB13,ENSG00000143545,MONDO_0002995,"small intestine neuroendocrine tumor, well differentiated, low or intermediate grade",0.9101,False
RAB13,ENSG00000143545,MONDO_0003089,extrahepatic bile duct mucoepidermoid carcinoma,0.5279,False
RAB13,ENSG00000143545,MONDO_0003090,extrahepatic bile duct carcinoma,0.8538,False
RAB13,ENSG00000143545,MONDO_0003196,appendix carcinoma,0.7146,False
RAB13,ENSG00000143545,MONDO_0003383,fallopian tube clear cell adenocarcinoma,0.5785,False
RAB13,ENSG00000143545,MONDO_0003478,childhood ependymoma,0.7465,False
RAB13,ENSG00000143545,MONDO_0003503,fallopian tube squamous cell carcinoma,0.5989,False
RAB13,ENSG00000143545,MONDO_0003541,adult acute lymphoblastic leukemia,0.9083,False
RAB13,ENSG00000143545,MONDO_0003660,adult lymphoma,0.5883,False
RAB13,ENSG00000143545,MONDO_0003666,fallopian tube endometrioid adenocarcinoma,0.7043,False
RAB13,ENSG00000143545,MONDO_0003869,childhood brain stem glioma,0.7327,False
RAB13,ENSG00000143545,MONDO_0003874,ovarian serous surface papillary adenocarcinoma,0.8183,False
RAB13,ENSG00000143545,MONDO_0004111,refractory hematologic cancer,0.8256,False
RAB13,ENSG00000143545,MONDO_0004180,benign urinary system neoplasm,0.7179,False
RAB13,ENSG00000143545,MONDO_0004222,ovarian clear cell cystadenocarcinoma,0.7723,False
RAB13,ENSG00000143545,MONDO_0004992,cancer,0.7206,False
RAB13,ENSG00000143545,MONDO_0005411,gallbladder cancer,0.6176,False
RAB13,ENSG00000143545,MONDO_0007254,breast cancer,0.6883,False
RAB13,ENSG00000143545,MONDO_0008170,ovarian cancer,0.8245,False
RAB13,ENSG00000143545,MONDO_0008315,prostate cancer,0.734,False
RAB13,ENSG00000143545,MONDO_0008318,Proteus syndrome,0.9075,False
RAB13,ENSG00000143545,MONDO_0016216,adult hepatocellular carcinoma,0.7797,False
RAB13,ENSG00000143545,MONDO_0017346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,0.5116,False
RAB13,ENSG00000143545,MONDO_0018521,squamous cell carcinoma of pancreas,0.7914,False
RAB13,ENSG00000143545,MONDO_0019456,acute myeloid leukemia with multilineage dysplasia,0.7629,False
RAB13,ENSG00000143545,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,0.8638,False
RAB13,ENSG00000143545,MONDO_0020077,myelodysplastic/myeloproliferative disease,0.5191,False
RAB13,ENSG00000143545,MONDO_0020657,human papillomavirus-related squamous cell carcinoma,0.8161,False
RAB13,ENSG00000143545,MONDO_0020690,adult glioblastoma,0.9224,False
RAB13,ENSG00000143545,MONDO_0021063,malignant colon neoplasm,0.5473,False
RAB13,ENSG00000143545,MONDO_0021074,precancerous condition,0.6462,False
RAB13,ENSG00000143545,MONDO_0021321,malignant tumor of extrahepatic bile duct,0.6032,False
RAB13,ENSG00000143545,MONDO_0021538,verrucous carcinoma of oral cavity,0.6175,False
RAB13,ENSG00000143545,MONDO_0024327,chronic renal failure syndrome,0.8651,False
RAB13,ENSG00000143545,MONDO_0036501,refractory malignant neoplasm,0.5669,False
RAB13,ENSG00000143545,MONDO_0040678,infiltrating urothelial carcinoma,0.7233,False
RAB13,ENSG00000143545,MONDO_0044710,lip and oral cavity squamous cell carcinoma,0.9527,False
RAB13,ENSG00000143545,MONDO_0044787,nasal cavity and paranasal sinus squamous cell carcinoma,0.8231,False
RAB13,ENSG00000143545,MONDO_0044964,oral cavity mucoepidermoid carcinoma,0.9779,False
RAB13,ENSG00000143545,MONDO_0045056,grade II meningioma,0.8538,False
RAB13,ENSG00000143545,MONDO_0850302,intracranial meningioma,0.6361,False
RAB13,ENSG00000143545,EFO_0000096,neoplasm of mature B-cells,0.897,False
RAB13,ENSG00000143545,EFO_0000196,metastatic prostate cancer,0.5479,False
RAB13,ENSG00000143545,EFO_0000221,acute monocytic leukemia,0.6221,False
RAB13,ENSG00000143545,EFO_0000223,acute myelomonocytic leukemia,0.5156,False
RAB13,ENSG00000143545,EFO_0000233,adenosquamous lung carcinoma,0.5915,False
RAB13,ENSG00000143545,EFO_0000304,breast adenocarcinoma,0.6856,False
RAB13,ENSG00000143545,EFO_0000330,childhood acute myeloid leukemia,0.8169,False
RAB13,ENSG00000143545,EFO_0000616,neoplasm,0.7574,False
RAB13,ENSG00000143545,EFO_0001378,multiple myeloma,0.5426,False
RAB13,ENSG00000143545,EFO_0001663,prostate carcinoma,0.5604,False
RAB13,ENSG00000143545,EFO_0002426,neoplasm of mature T-cells or NK-cells,0.9174,False
RAB13,ENSG00000143545,EFO_0002618,pancreatic carcinoma,0.8612,False
RAB13,ENSG00000143545,EFO_0003027,acute myeloblastic leukemia without maturation,0.8489,False
RAB13,ENSG00000143545,EFO_0003028,acute myeloblastic leukemia with maturation,0.975,False
RAB13,ENSG00000143545,EFO_0003060,non-small cell lung carcinoma,0.9043,False
RAB13,ENSG00000143545,EFO_0003859,uterine neoplasm,0.6732,False
RAB13,ENSG00000143545,EFO_0003863,urogenital neoplasm,0.5147,False
RAB13,ENSG00000143545,EFO_0003869,breast neoplasm,0.6876,False
RAB13,ENSG00000143545,EFO_0003891,biliary tract neoplasm,0.6422,False
RAB13,ENSG00000143545,EFO_0004284,upper aerodigestive tract neoplasm,0.9805,False
RAB13,ENSG00000143545,EFO_0004289,lymphoid leukemia,0.5573,False
RAB13,ENSG00000143545,EFO_0004606,gallbladder neoplasm,0.5186,False
RAB13,ENSG00000143545,EFO_0005537,triple-negative breast cancer,0.7199,False
RAB13,ENSG00000143545,EFO_0006861,male breast carcinoma,0.9054,False
RAB13,ENSG00000143545,EFO_0007532,uterine corpus cancer,0.6222,False
RAB13,ENSG00000143545,EFO_0009780,HER2 negative breast carcinoma,0.8597,False
RAB13,ENSG00000143545,EFO_0009878,drug interaction,0.8289,False
RAB13,ENSG00000143545,EFO_0010580,blastic plasmacytoid dendritic cell neoplasm,0.5316,False
RAB13,ENSG00000143545,EFO_0010832,primary central chondrosarcoma,0.546,False
RAB13,ENSG00000143545,EFO_0020003,drug toxicity,0.811,False
RAB13,ENSG00000143545,EFO_1000044,pancreatic adenocarcinoma,0.6096,False
RAB13,ENSG00000143545,EFO_1000131,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",0.8035,False
RAB13,ENSG00000143545,EFO_1000251,Fallopian Tube Carcinoma,0.9011,False
RAB13,ENSG00000143545,EFO_1000253,Fallopian Tube Serous Adenocarcinoma,0.5795,False
RAB13,ENSG00000143545,EFO_1000412,Ovarian Carcinosarcoma,0.5354,False
RAB13,ENSG00000143545,EFO_1000419,Ovarian Germ Cell Tumor,0.7859,False
RAB13,ENSG00000143545,EFO_1000494,Primary Peritoneal Serous Adenocarcinoma,0.8166,False
RAB13,ENSG00000143545,EFO_1000616,Uveal Melanoma,0.7619,False
RAB13,ENSG00000143545,EFO_1000649,estrogen-receptor positive breast cancer,0.5656,False
RAB13,ENSG00000143545,EFO_1001013,lethal midline granuloma,0.9613,False
RAB13,ENSG00000143545,EFO_1001100,peritoneal neoplasm,0.9748,False
RAB13,ENSG00000143545,EFO_1001110,pituitary-dependent Cushing's disease,0.8234,False
RAB13,ENSG00000143545,EFO_1001257,acute erythroblastic leukemia,0.7747,False
RAB13,ENSG00000143545,EFO_1001348,HIV-Associated Lipodystrophy Syndrome,0.8474,False
RAB13,ENSG00000143545,EFO_1001799,incomplete abortion,0.6847,False
RAB13,ENSG00000143545,EFO_1001830,precursor T-cell lymphoblastic leukemia-lymphoma,0.5458,False
RAB13,ENSG00000143545,EFO_1001932,adult acute megakaryoblastic leukemia,0.633,False
RAB13,ENSG00000143545,EFO_1001933,adult acute monocytic leukemia,0.7589,False
RAB13,ENSG00000143545,EFO_1001934,adult acute myeloid leukemia,0.8672,False
RAB13,ENSG00000143545,EFO_1001935,adult B acute lymphoblastic leukemia,0.6888,False
RAB13,ENSG00000143545,EFO_1001945,childhood acute myeloid leukemia with maturation,0.8796,False
RAB13,ENSG00000143545,EFO_1001946,childhood B acute lymphoblastic leukemia,0.5821,False
RAB13,ENSG00000143545,EFO_1001947,childhood T acute lymphoblastic leukemia,0.6195,False
RAB13,ENSG00000143545,EFO_1001952,endometrial adenosquamous carcinoma,0.8041,False
RAB13,ENSG00000143545,EFO_1001958,high grade ovarian serous adenocarcinoma,0.9861,False
RAB13,ENSG00000143545,EFO_1001959,hilar cholangiocarcinoma,0.5987,False
RAB13,ENSG00000143545,EFO_1001963,ovarian mucinous cystadenocarcinoma,0.648,False
RAB13,ENSG00000143545,EFO_1002001,core binding factor acute myeloid leukemia,0.8914,False
RAB13,ENSG00000143545,Orphanet_145,Hereditary breast and ovarian cancer syndrome,0.7559,False
RAB14,ENSG00000119396,MONDO_0001056,gastric cancer,0.6372,False
RAB14,ENSG00000119396,MONDO_0001187,urinary bladder cancer,0.8144,False
RAB14,ENSG00000119396,MONDO_0001325,penile cancer,0.5377,False
RAB14,ENSG00000119396,MONDO_0001402,vaginal cancer,0.6457,False
RAB14,ENSG00000119396,MONDO_0001852,small intestine lymphoma,0.8535,False
RAB14,ENSG00000119396,MONDO_0001879,anus cancer,0.9805,False
RAB14,ENSG00000119396,MONDO_0002087,peritoneum cancer,0.8151,False
RAB14,ENSG00000119396,MONDO_0002158,fallopian tube cancer,0.7521,False
RAB14,ENSG00000119396,MONDO_0002225,ovarian sarcoma,0.7137,False
RAB14,ENSG00000119396,MONDO_0002280,anemia,0.5099,False
RAB14,ENSG00000119396,MONDO_0002543,adult oligodendroglioma,0.5541,False
RAB14,ENSG00000119396,MONDO_0002586,thymus cancer,0.9481,False
RAB14,ENSG00000119396,MONDO_0002716,childhood spinal cord tumor,0.6148,False
RAB14,ENSG00000119396,MONDO_0002744,fallopian tube mucinous adenocarcinoma,0.5511,False
RAB14,ENSG00000119396,MONDO_0002833,fallopian tube transitional cell carcinoma,0.776,False
RAB14,ENSG00000119396,MONDO_0002974,cervical cancer,0.5659,False
RAB14,ENSG00000119396,MONDO_0002995,"small intestine neuroendocrine tumor, well differentiated, low or intermediate grade",0.9426,False
RAB14,ENSG00000119396,MONDO_0003090,extrahepatic bile duct carcinoma,0.8357,False
RAB14,ENSG00000119396,MONDO_0003196,appendix carcinoma,0.6932,False
RAB14,ENSG00000119396,MONDO_0003212,nasal cavity carcinoma,0.5057,False
RAB14,ENSG00000119396,MONDO_0003268,mixed glioma,0.6939,False
RAB14,ENSG00000119396,MONDO_0003383,fallopian tube clear cell adenocarcinoma,0.6084,False
RAB14,ENSG00000119396,MONDO_0003478,childhood ependymoma,0.9005,False
RAB14,ENSG00000119396,MONDO_0003503,fallopian tube squamous cell carcinoma,0.6041,False
RAB14,ENSG00000119396,MONDO_0003541,adult acute lymphoblastic leukemia,0.9313,False
RAB14,ENSG00000119396,MONDO_0003659,pediatric lymphoma,0.7821,False
RAB14,ENSG00000119396,MONDO_0003660,adult lymphoma,0.8157,False
RAB14,ENSG00000119396,MONDO_0003666,fallopian tube endometrioid adenocarcinoma,0.7063,False
RAB14,ENSG00000119396,MONDO_0003692,adult malignant mesenchymoma,0.5437,False
RAB14,ENSG00000119396,MONDO_0003856,adult malignant hemangiopericytoma,0.6036,False
RAB14,ENSG00000119396,MONDO_0003869,childhood brain stem glioma,0.8628,False
RAB14,ENSG00000119396,MONDO_0003874,ovarian serous surface papillary adenocarcinoma,0.9021,False
RAB14,ENSG00000119396,MONDO_0003890,infiltrating bladder urothelial carcinoma,0.7156,False
RAB14,ENSG00000119396,MONDO_0004111,refractory hematologic cancer,0.8936,False
RAB14,ENSG00000119396,MONDO_0004180,benign urinary system neoplasm,0.8547,False
RAB14,ENSG00000119396,MONDO_0004192,urethra cancer,0.5801,False
RAB14,ENSG00000119396,MONDO_0004222,ovarian clear cell cystadenocarcinoma,0.8782,False
RAB14,ENSG00000119396,MONDO_0004992,cancer,0.8464,False
RAB14,ENSG00000119396,MONDO_0005411,gallbladder cancer,0.6228,False
RAB14,ENSG00000119396,MONDO_0007254,breast cancer,0.8381,False
RAB14,ENSG00000119396,MONDO_0008170,ovarian cancer,0.7895,False
RAB14,ENSG00000119396,MONDO_0008315,prostate cancer,0.8692,False
RAB14,ENSG00000119396,MONDO_0008318,Proteus syndrome,0.7855,False
RAB14,ENSG00000119396,MONDO_0008627,ureter cancer,0.5127,False
RAB14,ENSG00000119396,MONDO_0008903,lung cancer,0.7383,False
RAB14,ENSG00000119396,MONDO_0011962,endometrial cancer,0.5934,False
RAB14,ENSG00000119396,MONDO_0016216,adult hepatocellular carcinoma,0.8375,False
RAB14,ENSG00000119396,MONDO_0017346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,0.6898,False
RAB14,ENSG00000119396,MONDO_0018521,squamous cell carcinoma of pancreas,0.7479,False
RAB14,ENSG00000119396,MONDO_0019456,acute myeloid leukemia with multilineage dysplasia,0.9158,False
RAB14,ENSG00000119396,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,0.9357,False
RAB14,ENSG00000119396,MONDO_0019460,acute leukemia of ambiguous lineage,0.5169,False
RAB14,ENSG00000119396,MONDO_0020077,myelodysplastic/myeloproliferative disease,0.7281,False
RAB14,ENSG00000119396,MONDO_0020657,human papillomavirus-related squamous cell carcinoma,0.8949,False
RAB14,ENSG00000119396,MONDO_0020690,adult glioblastoma,0.9461,False
RAB14,ENSG00000119396,MONDO_0021063,malignant colon neoplasm,0.5394,False
RAB14,ENSG00000119396,MONDO_0021074,precancerous condition,0.7097,False
RAB14,ENSG00000119396,MONDO_0021321,malignant tumor of extrahepatic bile duct,0.5256,False
RAB14,ENSG00000119396,MONDO_0021535,pancreatic neuroendocrine tumor G1,0.6765,False
RAB14,ENSG00000119396,MONDO_0021538,verrucous carcinoma of oral cavity,0.8016,False
RAB14,ENSG00000119396,MONDO_0024327,chronic renal failure syndrome,0.7774,False
RAB14,ENSG00000119396,MONDO_0036501,refractory malignant neoplasm,0.6913,False
RAB14,ENSG00000119396,MONDO_0040678,infiltrating urothelial carcinoma,0.8861,False
RAB14,ENSG00000119396,MONDO_0044334,connective and soft tissue neoplasm,0.6487,False
RAB14,ENSG00000119396,MONDO_0044710,lip and oral cavity squamous cell carcinoma,0.9816,False
RAB14,ENSG00000119396,MONDO_0044787,nasal cavity and paranasal sinus squamous cell carcinoma,0.7794,False
RAB14,ENSG00000119396,MONDO_0044887,central nervous system non-hodgkin lymphoma,0.72,False
RAB14,ENSG00000119396,MONDO_0044889,high grade B-cell lymphoma,0.6493,False
RAB14,ENSG00000119396,MONDO_0044903,myelofibrosis,0.7038,False
RAB14,ENSG00000119396,MONDO_0044964,oral cavity mucoepidermoid carcinoma,0.9799,False
RAB14,ENSG00000119396,MONDO_0045056,grade II meningioma,0.9215,False
